no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
3122,J150139.67-140852.52,225.4152917,-14.14792222,COMPACT,0,,
3123,J150141.00+214250.97,225.4208333,21.71415833,NON-DETECTION,0,,
3124,J150142.17-073134.19,225.4257083,-7.526163889,COMPACT,0,,
3125,J150143.38+330746.80,225.43075,33.12966667,COMPACT,0,,
3126,J150153.22+075937.27,225.47175,7.993686111,COMPACT,0,,
3127,J150201.69-063600.43,225.5070417,-6.600119444,COMPACT,0,,
3128,J150206.55+394241.36,225.5272917,39.71148889,COMPACT,0,,
3129,J150214.02+115225.20,225.5584167,11.87366667,COMPACT,0,,
3130,J150214.22+304615.21,225.55925,30.77089167,COMPACT,0,,
3131,J150225.86-140258.44,225.60775,-14.04956667,COMPACT,0,,
3132,J150235.92-392814.92,225.6496667,-39.47081111,COMPACT,0,,EP02
3133,J150246.27+521139.74,225.6927917,52.19437222,COMPACT,0,,
3134,J150259.55-050546.64,225.748125,-5.096288889,COMPACT,0,,
3135,J150316.57+165117.65,225.8190417,16.85490278,COMPACT,0,,
3136,J150329.59-361154.83,225.8732917,-36.19856389,COMPACT,0,,
3137,J150338.04-123621.14,225.9085,-12.60587222,COMPACT,0,,
3138,J150340.89+545557.71,225.920375,54.93269722,COMPACT,0,,
3139,J150347.07+065628.42,225.946125,6.941227778,COMPACT,0,,
3140,J150349.41+704243.61,225.955875,70.71211389,VISUAL NEEDED,1,COMPACT,EP01
3141,J150356.77+121717.90,225.9865417,12.28830556,COMPACT_offset,0,,
3142,J150357.12+112912.65,225.988,11.48684722,VISUAL NEEDED,1,COMPACT,
3143,J150425.65-004742.11,226.106875,-0.7950305556,COMPACT,0,,
3144,J150426.35+020200.21,226.1097917,2.033391667,COMPACT,0,,
3145,J150427.40+510001.52,226.1141667,51.00042222,COMPACT,0,,
3146,J150429.41+504446.83,226.1225417,50.74634167,COMPACT,0,,
3147,J150433.03+831255.30,226.137625,83.21536111,COMPACT,0,,
3148,J150434.87+320451.18,226.1452917,32.08088333,COMPACT,0,,
