no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
191,PMN J1332-1256,203.16355,-12.9376,COMPACT,0,,
192,OP 151,203.3991,16.81779,COMPACT,0,,
193,PKS 1335-127,204.41576,-12.95686,COMPACT,0,,
194,PMN J1344-1723,206.06001,-17.39455,COMPACT,0,,
195,VIPS 0700,206.38822,44.88321,COMPACT,0,,
196,B2 1348+30B,207.71973,30.58155,COMPACT,0,,
197,PKS 1402+044,211.25467,4.25995,COMPACT,0,,
198,PKS B1406-076,212.23534,-7.87407,COMPACT_D,0,,
199,PKS B1413+135,213.99507,13.33992,COMPACT,0,,
200,OQ 530,214.94416,54.38744,COMPACT,0,,
201,B3 1417+385,214.94423,38.36347,COMPACT,0,,
202,OQ 240,216.75163,23.80001,COMPACT,0,,
203,VIPS 0792,219.19084,63.61052,COMPACT,0,,
204,PKS 1441+25,220.98705,25.02903,COMPACT,0,,
205,OR 103,226.10408,10.49422,COMPACT,0,,
206,PKS 1504-167,226.77003,-16.87524,COMPACT,0,,
207,PKS 1508-05,227.7233,-5.71873,COMPACT,0,,
208,PKS 1514+197,229.23665,19.53694,COMPACT,0,,
209,AP Librae,229.42422,-24.37208,COMPACT,0,,EP02
210,B2 1520+31,230.54163,31.73733,COMPACT,0,,
211,PKS 1519-273,230.65698,-27.503,COMPACT,0,,
212,PKS 1532+01,233.71856,1.51784,COMPACT,0,,
213,4C +14.60,235.20622,14.79608,COMPACT,0,,
214,GB6 J1542+6129,235.7372,61.49867,COMPACT,0,,
215,PKS 1546+027,237.37265,2.61699,COMPACT,0,,
216,4C +05.64,237.64695,5.4529,COMPACT,0,,
217,TXS 1549+089,238.01359,8.84648,COMPACT,0,,
218,OR 186,238.38624,12.9477,COMPACT,0,,
219,PG 1553+113,238.92935,11.1901,COMPACT,0,,
220,VIPS 0926,239.7012,56.42059,COMPACT,0,,
221,4C +15.54,241.77679,15.85958,1-SIDE SEPARATED,0,,
222,4C +10.45,242.19251,10.48549,COMPACT,0,,
223,CGRABS J1619+2247,244.81177,22.79663,COMPACT,0,,
224,PKS 1622-253,246.44538,-25.46065,COMPACT,0,,
225,PKS 1622-29,246.52509,-29.85749,COMPACT,0,,EP02
226,4C +38.41,248.8145,38.1346,COMPACT,0,,
227,4C +47.44,249.43804,47.29273,COMPACT,0,,
