no.,name,ra,dec,class,visual_flag,visual_class
142,TXS 0815-094,124.45729,-9.55848,2-SIDE EXTENDED,1,COMPACT
143,OJ 425,124.56666,42.37928,COMPACT,0,
144,4C +39.23,126.23118,39.27831,COMPACT,0,
145,4C +62.12,126.41088,61.95794,2-SIDE SEPARATED,1,
146,PKS 0823+033,126.45974,3.15681,COMPACT,0,
147,PKS 0823-223,126.50655,-22.50756,COMPACT,0,
148,OJ 248,127.71703,24.18328,COMPACT,0,
149,OJ 049,127.95365,4.49419,2-SIDE EXTENDED,1,
150,TXS 0836+182,129.87801,18.04643,COMPACT,0,
151,PKS 0837+012,129.95671,1.07409,COMPACT,0,
152,3C 207,130.19828,13.20655,2-SIDE EXTENDED,1,
153,4C +71.07,130.3515,70.8951,COMPACT,0,
154,PMN J0847-0703,131.98641,-7.0547,COMPACT,0,
155,SBS 0846+513,132.49157,51.1414,COMPACT,0,
156,PMN J0850-1213,132.54015,-12.22649,COMPACT,0,
157,4C +58.17,133.67498,57.95832,COMPACT,0,
158,OJ 287,133.70365,20.10851,COMPACT,0,
159,CRATES J0856-1105,134.17418,-11.08734,COMPACT,0,
160,PKS B0859-140,135.57015,-14.25859,COMPACT,0,
161,NVSS J090226+205045,135.61212,20.84625,COMPACT,0,
162,4C +47.29,135.7666,46.8512,COMPACT,0,
163,PMN J0906-0905,136.57529,-9.09581,COMPACT,0,
164,4C +01.24,137.29205,1.3599,COMPACT_D,0,
165,Ton 1015,137.65431,33.49012,COMPACT,0,
166,B2 0912+29,138.96834,29.55668,COMPACT,0,
167,S4 0917+44,140.24358,44.69833,COMPACT,0,
168,OK 630,140.40096,62.26449,COMPACT,0,
169,B2 0922+31B,141.43188,31.453,COMPACT,0,
170,GB6 J0929+5013,142.31434,50.22666,COMPACT,0,
171,S5 0916+86,142.4294,86.20591,COMPACT,0,
172,CRATES J0941-1335,145.26062,-13.5975,COMPACT,0,
173,PMN J0941-0754,145.33546,-7.90097,COMPACT,0,
174,PMN J0942-0800,145.58942,-7.99811,COMPACT,0,
175,4C +40.24,147.23058,40.66239,2-SIDE SEPARATED,1,COMPACT
176,PMN J0948+0022,147.23884,0.37377,COMPACT,0,
177,OK 290,149.20781,25.25446,COMPACT,0,
178,TXS 0954+556,149.40909,55.3827,COMPACT,0,
179,OK 492,149.58197,47.41884,COMPACT,0,
180,S4 0954+65,149.69685,65.56523,COMPACT_D,0,
181,1ES 1011+496,153.76725,49.43353,COMPACT,0,
182,TXS 1013+054,154.01307,5.21731,COMPACT,0,
183,B2 1015+35B,154.5457,35.711,COMPACT,0,
184,S5 1027+74,157.84177,74.69954,2-SIDE EXTENDED,1,COMPACT
185,S4 1030+41,158.26545,41.2684,COMPACT,0,
186,S4 1030+61,158.46428,60.85204,COMPACT,0,
187,PKS 1034-293,159.317,-29.56745,COMPACT,0,
188,GB6 J1037+5711,159.43462,57.19879,COMPACT,0,
189,PKS 1036+054,159.69492,5.20808,COMPACT_D,0,
190,4C +06.41,160.32151,6.17137,COMPACT,0,
191,B2 1040+24A,160.78765,24.14317,COMPACT,0,
192,PKS 1045-18,162.02759,-19.15992,COMPACT_D,0,
193,S5 1044+71,162.1151,71.7266,COMPACT,0,
194,NVSS J105010+043251,162.54191,4.54698,COMPACT,0,
195,4C +21.28,162.95329,21.3312,2-SIDE EXTENDED,1,COMPACT
196,4C +01.28,164.62335,1.56634,COMPACT,0,
197,7C 1055+5644,164.6572,56.46978,COMPACT_D,0,
198,Mrk 421,166.11381,38.20883,COMPACT,0,
199,MG1 J112039+0704,170.16018,7.07977,COMPACT,0,
200,PKS 1118-05,170.35457,-5.89906,COMPACT,0,
201,PKS 1124-186,171.7683,-18.95484,COMPACT,0,
202,PKS 1127-14,172.52936,-14.82428,COMPACT,0,
203,B2 1128+38,172.72201,38.25515,COMPACT,0,
204,PKS 1128-047,172.87715,-5.00546,COMPACT_D,0,
205,Mrk 180,174.11003,70.15759,1-SIDE SEPARATED,0,
206,MG1 J114208+1547,175.53223,15.79838,1-SIDE SEPARATED,0,
207,3C 264,176.27087,19.60632,1-SIDE SEPARATED,0,
208,S4 1144+40,176.74291,39.9762,COMPACT,0,
209,PKS 1145-071,176.96481,-7.41143,COMPACT,0,
210,OM 280,177.58005,24.29829,COMPACT,0,
211,4C -00.47,177.6828,-0.39839,COMPACT,0,
212,PKS B1149-084,178.07171,-8.68425,COMPACT,0,
213,S5 1150+81,178.30208,80.97476,COMPACT,0,
214,4C +49.22,178.35194,49.51912,1-SIDE SEPARATED,0,
215,B3 1151+408,178.47775,40.61462,COMPACT,0,
216,4C +29.45,179.88264,29.24551,COMPACT,0,
217,CGRABS J1159-2148,179.96628,-21.81492,COMPACT,0,
218,SBS 1200+608,180.76461,60.52199,COMPACT,0,
219,PKS 1203-26,181.38839,-26.56794,COMPACT,0,
220,B3 1206+416,182.34495,41.32816,COMPACT,0,
221,PKS 1213-17,183.9448,-17.52928,COMPACT,0,
222,ON 325,184.46701,30.11684,COMPACT,0,
223,W Comae,185.38204,28.23292,COMPACT,0,
224,4C +04.42,185.5939,4.2211,COMPACT,0,
225,4C +21.35,186.22692,21.37956,1-SIDE SEPARATED,0,
226,PMN J1226-1328,186.72674,-13.4775,COMPACT,0,
227,ON 246,187.55871,25.30198,COMPACT,0,
228,M87,187.70593,12.39112,2-SIDE SEPARATED,1,
229,B2 1229+29,187.93156,28.79714,2-SIDE EXTENDED,1,COMPACT
230,PKS 1236+077,189.85245,7.50477,COMPACT,0,
231,CRATES J1239+0443,189.88648,4.71812,COMPACT,0,
232,PKS 1243-072,191.51763,-7.51294,2-SIDE EXTENDED,1,
233,PG 1246+586,192.07827,58.34131,COMPACT,0,
234,S4 1250+53,193.29967,53.01993,COMPACT,0,
235,VIPS 0623,195.7634,24.56552,COMPACT,0,
236,PG 1302-102,196.38756,-10.5554,COMPACT,0,
237,OP 112,197.39139,11.90682,COMPACT,0,
238,OP 313,197.61943,32.3455,COMPACT,0,
239,GB6 B1310+4844,198.18064,48.47526,COMPACT,0,
240,TXS 1318+225,200.29667,22.27003,COMPACT,0,
241,B2 1324+22,201.75359,22.1806,COMPACT,0,
242,OP -050,203.0186,-5.16203,1-SIDE SEPARATED,0,
243,PMN J1332-1256,203.16355,-12.9376,COMPACT,0,
244,OP 151,203.3991,16.81779,COMPACT,0,
245,PKS 1335-127,204.41576,-12.95686,COMPACT,0,
246,PMN J1344-1723,206.06001,-17.39455,COMPACT,0,
247,VIPS 0700,206.38822,44.88321,COMPACT,0,
248,PKS B1345+125,206.889,12.29008,COMPACT,0,
249,B2 1348+30B,207.71973,30.58155,COMPACT,0,
250,4C +19.44,209.26849,19.31871,2-SIDE SEPARATED,1,
251,PKS 1402+044,211.25467,4.25995,COMPACT,0,
252,OQ 208,211.75164,28.45408,COMPACT,0,
253,PKS B1406-076,212.23534,-7.87407,COMPACT_D,0,
254,PKS B1413+135,213.99507,13.33992,COMPACT,0,
255,OQ 530,214.94416,54.38744,COMPACT,0,
256,B3 1417+385,214.94423,38.36347,COMPACT,0,
257,PMN J1420-1118,215.2505,-11.30567,1-SIDE SEPARATED,0,
258,OQ 240,216.75163,23.80001,COMPACT,0,
259,VIPS 0792,219.19084,63.61052,COMPACT,0,
260,PKS 1441+25,220.98705,25.02903,COMPACT,0,
261,OR 103,226.10408,10.49422,COMPACT,0,
262,PKS 1502+036,226.27699,3.44189,COMPACT,0,
263,PKS 1504-167,226.77003,-16.87524,COMPACT,0,
264,PKS 1508-05,227.7233,-5.71873,COMPACT,0,
265,PMN J1511+0518,227.92417,5.30111,VISUAL NEEDED,1,COMPACT
266,PKS 1510-08,228.21055,-9.09995,COMPACT,0,
267,PKS 1514+00,229.16758,0.25053,COMPACT,0,
268,PKS 1514+197,229.23665,19.53694,COMPACT,0,
269,AP Librae,229.42422,-24.37208,COMPACT,0,
270,B2 1520+31,230.54163,31.73733,COMPACT,0,
271,PKS 1519-273,230.65698,-27.503,COMPACT,0,
272,PMN J1532-1319,233.18906,-13.31947,COMPACT,0,
273,PKS 1532+01,233.71856,1.51784,COMPACT,0,
274,MG2 J153938+2744,234.91307,27.74395,2-SIDE EXTENDED,1,COMPACT
275,4C +14.60,235.20622,14.79608,COMPACT,0,
276,GB6 J1542+6129,235.7372,61.49867,COMPACT,0,
277,PKS 1546+027,237.37265,2.61699,COMPACT,0,
278,4C +05.64,237.64695,5.4529,COMPACT,0,
279,RGB J1551+581,237.99253,58.11235,COMPACT,0,
280,TXS 1549+089,238.01359,8.84648,COMPACT,0,
281,OR 186,238.38624,12.9477,COMPACT,0,
282,PG 1553+113,238.92935,11.1901,COMPACT,0,
283,VIPS 0926,239.7012,56.42059,COMPACT,0,
284,4C 57.27,240.98305,57.51511,COMPACT,0,
285,4C +15.54,241.77679,15.85958,1-SIDE SEPARATED,0,
286,4C +10.45,242.19251,10.48549,COMPACT,0,
287,CTD 93,242.3055,26.6914,COMPACT,0,
288,CGRABS J1619+2247,244.81177,22.79663,COMPACT,0,
289,PKS 1622-253,246.44538,-25.46065,COMPACT,0,
290,PKS 1622-29,246.52509,-29.85749,COMPACT,0,
291,NGC 6251,248.13321,82.53789,1-SIDE SEPARATED,0,
292,4C +38.41,248.8145,38.1346,COMPACT,0,
293,4C +47.44,249.43804,47.29273,COMPACT,0,
294,OS 562,249.55607,57.33999,COMPACT,0,
295,NRAO 512,250.12347,39.77945,COMPACT,0,
296,CRATES J1640+1144,250.24539,11.7345,COMPACT,0,
297,4C +69.21,250.5327,68.9444,COMPACT,0,
298,3C 345,250.745,39.8103,COMPACT,0,
299,Mrk 501,253.46757,39.76017,1-SIDE SEPARATED,0,
300,4C +48.41,254.44533,48.14251,COMPACT,0,
