no.,name,ra,dec,class,visual_flag,visual_class,single_epoch
86,J001112.45+162429.30,2.801875,16.40813889,COMPACT,0,,
87,J001130.40+005751.87,2.876666667,0.9644083333,COMPACT,0,,
88,J001131.89+704531.64,2.882875,70.75878889,COMPACT_D,0,,
89,J001135.27+082355.55,2.896958333,8.398763889,COMPACT_D,0,,
90,J001135.41+454946.62,2.897541667,45.82961667,COMPACT,0,,
91,J001145.35+720042.16,2.938958333,72.01171111,COMPACT,0,,
92,J001150.47-055526.64,2.960291667,-5.924066667,COMPACT,0,,
93,J001259.90-395425.93,3.249583333,-39.90720278,COMPACT_D,0,,
94,J001301.20+491239.97,3.255,49.21110278,COMPACT_offset,0,,
95,J001301.26+425524.61,3.25525,42.92350278,COMPACT,0,,
96,J001311.79+774847.40,3.299125,77.81316667,COMPACT_D,0,,
97,J001316.46+463607.67,3.318583333,46.60213056,COMPACT,0,,
98,J001322.85+851325.01,3.345208333,85.22361389,COMPACT,0,,
99,J001331.13+405137.16,3.379708333,40.86032222,2-SIDE EXTENDED,0,,
100,J001332.44-214627.31,3.385166667,-21.77425278,COMPACT,0,,
101,J001356.38+191041.98,3.484916667,19.17832778,COMPACT,0,,
102,J001422.64-125420.22,3.594333333,-12.90561667,COMPACT,0,,
103,J001439.80+694608.75,3.665833333,69.76909722,1-SIDE SEPARATED,0,,
104,J001448.80+611743.67,3.703333333,61.29546389,COMPACT_D,0,,
105,J001450.44+173642.28,3.710166667,17.61174444,COMPACT,0,,
106,J001452.88+385518.26,3.720333333,38.92173889,COMPACT,0,,
107,J001502.67-292210.65,3.761125,-29.369625,NON-DETECTION,0,,
108,J001521.84-170458.27,3.841,-17.08285278,COMPACT,0,,
109,J001522.68-151346.46,3.8445,-15.22957222,1-SIDE SEPARATED,0,,
110,J001525.97-284257.87,3.858208333,-28.716075,COMPACT,0,,
111,J001536.02+305229.78,3.900083333,30.87493889,COMPACT,0,,
112,J001540.14+555144.77,3.91725,55.86243611,COMPACT_D,0,,
113,J001541.57+191627.11,3.923208333,19.27419722,COMPACT,0,,
114,J001543.36-125717.38,3.930666667,-12.95482778,COMPACT,0,,
115,J001548.12+483143.09,3.9505,48.52863611,COMPACT,0,,
116,J001600.02+390026.82,4.000083333,39.00745,COMPACT,0,,
117,J001603.62+244014.77,4.015083333,24.67076944,COMPACT,0,,
118,J001605.00+591037.77,4.020833333,59.17715833,COMPACT,0,,
119,J001631.23+791650.36,4.130125,79.28065556,2-SIDE EXTENDED,0,,
120,J001636.21-295127.97,4.150875,-29.85776944,COMPACT,0,,
121,J001639.80+251029.66,4.165833333,25.17490556,COMPACT,0,,
122,J001642.35+351410.69,4.176458333,35.23630278,1-SIDE SEPARATED,0,,
123,J001644.40-372404.37,4.185,-37.40121389,COMPACT,0,,
124,J001651.79+193152.86,4.215791667,19.53135,COMPACT,0,,
125,J001702.10+320921.73,4.25875,32.15603611,2-SIDE EXTENDED,0,,
126,J001708.50+813508.15,4.285416667,81.58559722,COMPACT_D,0,,
127,J001709.37-065033.47,4.289041667,-6.842630556,COMPACT,0,,
128,J001718.38+481433.96,4.326583333,48.24276667,COMPACT,0,,
129,J001730.16-364227.71,4.375666667,-36.70769722,1-SIDE SEPARATED,0,,
130,J001735.81-051241.77,4.399208333,-5.211602778,COMPACT,0,,
131,J001736.91+145101.79,4.403791667,14.85049722,COMPACT,0,,
132,J001759.01-274821.56,4.495875,-27.80598889,COMPACT_D,0,,
133,J001812.42+292124.19,4.55175,29.35671944,2-SIDE EXTENDED,0,,
134,J001829.95+031903.28,4.624791667,3.317577778,COMPACT,0,,
135,J001834.10-062834.51,4.642083333,-6.476252778,2-SIDE EXTENDED,0,,
136,J001850.91+290739.34,4.712125,29.12759444,COMPACT,0,,
137,J001859.52-102245.68,4.748,-10.37935556,2-SIDE SEPARATED,0,,
138,J001908.86+281753.74,4.786916667,28.29826111,COMPACT,0,,
139,J001920.11+351936.45,4.833791667,35.32679167,COMPACT,0,,
140,J001929.03+453742.98,4.870958333,45.62860556,COMPACT_D,0,,
141,J001945.77+732730.23,4.940708333,73.45839722,COMPACT_D,0,,
142,J002005.13+765317.00,5.021375,76.88805556,COMPACT,0,,
143,J002006.81+450801.61,5.028375,45.13378056,1-SIDE SEPARATED,0,,
144,J002025.22+154054.80,5.105083333,15.68188889,VISUAL NEEDED,1,2-SIDE EXTENDED,
145,J002035.47-275144.02,5.147791667,-27.86222778,COMPACT,0,,
146,J002100.16-245107.57,5.250666667,-24.85210278,2-SIDE SEPARATED,0,,
147,J002131.32+465201.91,5.3805,46.86719722,COMPACT,0,,
148,J002132.55-255049.38,5.385625,-25.84705,COMPACT,0,,
149,J002147.64+432824.76,5.4485,43.47354444,2-SIDE SEPARATED,0,,
150,J002157.68-261916.09,5.490333333,-26.32113611,2-SIDE SEPARATED,0,,
151,J002205.02-312252.27,5.520916667,-31.38118611,COMPACT,0,,
152,J002232.44+060804.26,5.635166667,6.134516667,COMPACT,0,,
153,J002236.85+730002.58,5.653541667,73.00071667,COMPACT,0,,
154,J002305.60-143131.77,5.773333333,-14.52549167,COMPACT,0,,
155,J002313.81+800341.67,5.807541667,80.061575,COMPACT,0,,
156,J002316.66-142258.32,5.819416667,-14.38286667,2-SIDE SEPARATED,0,,
157,J002335.44+445635.77,5.897666667,44.94326944,COMPACT_D,0,,
158,J002339.38-175354.12,5.914083333,-17.89836667,COMPACT,0,,
159,J002358.94+644045.81,5.995583333,64.67939167,COMPACT,0,,
160,J002400.67-081109.84,6.002791667,-8.186066667,COMPACT,0,,
161,J002404.30+400726.19,6.017916667,40.12394167,COMPACT,0,,
162,J002421.54+464406.07,6.08975,46.73501944,COMPACT_D,0,,
163,J002430.15-292854.39,6.125625,-29.481775,2-SIDE SEPARATED,0,,
164,J002433.46+373856.32,6.139416667,37.64897778,COMPACT,0,,
165,J002443.51+325136.90,6.181291667,32.86025,1-SIDE SEPARATED,0,,
166,J002509.53-043934.37,6.289708333,-4.659547222,COMPACT,0,,
167,J002526.73-180448.36,6.361375,-18.0801,COMPACT,0,,
168,J002538.12-170813.81,6.408833333,-17.13716944,COMPACT_offset,0,,
169,J002544.36-063922.28,6.434833333,-6.656188889,COMPACT,0,,
170,J002556.36+291510.64,6.484833333,29.25295556,1-SIDE SEPARATED,0,,
171,J002613.63+114343.79,6.556791667,11.72883056,COMPACT,0,,
172,J002616.40-351248.84,6.568333333,-35.21356667,COMPACT_D,0,,
173,J002631.47-084235.60,6.631125,-8.709888889,2-SIDE EXTENDED,0,,
174,J002631.95-183946.46,6.633125,-18.66290556,COMPACT,0,,
175,J002634.63-073745.98,6.644291667,-7.629438889,COMPACT,0,,
176,J002637.55+543238.34,6.656458333,54.54398333,COMPACT,0,,
177,J002648.23-155654.14,6.700958333,-15.94837222,2-SIDE EXTENDED,0,,
178,J002659.58+294914.60,6.74825,29.82072222,COMPACT_offset,0,,
179,J002703.29+595853.04,6.763708333,59.9814,COMPACT,0,,
180,J002713.96+013639.41,6.808166667,1.610947222,2-SIDE SEPARATED,0,,
181,J002715.37+224158.16,6.814041667,22.69948889,COMPACT,0,,
182,J002717.74-062908.82,6.823916667,-6.485783333,COMPACT,0,,
183,J002729.53+255530.69,6.873041667,25.92519167,COMPACT,0,,
184,J002733.33+045911.86,6.888875,4.986627778,COMPACT,0,,
185,J002738.10-334110.35,6.90875,-33.68620833,COMPACT,0,,
186,J002742.27+451457.00,6.926125,45.24916667,COMPACT,0,,
187,J002750.46+094207.78,6.96025,9.702161111,2-SIDE SEPARATED,0,,
188,J002813.07+750612.96,7.054458333,75.1036,COMPACT,0,,
189,J002818.90+533847.96,7.07875,53.64665556,COMPACT,0,,
190,J002827.34-250009.91,7.113916667,-25.00275278,COMPACT,0,,
191,J002827.51+482923.66,7.114625,48.48990556,COMPACT,0,,
192,J002829.10-293435.28,7.12125,-29.57646667,2-SIDE EXTENDED,0,,
193,J002829.82+200026.77,7.12425,20.00743611,COMPACT,0,,
194,J002832.71+291031.81,7.136291667,29.17550278,2-SIDE EXTENDED,0,,
195,J002834.19+240808.52,7.142458333,24.1357,COMPACT,0,,
196,J002834.90-244738.93,7.145416667,-24.79414722,COMPACT,0,,
197,J002851.97+355036.06,7.216541667,35.84335,COMPACT,0,,
198,J002854.70-375447.95,7.227916667,-37.91331944,COMPACT,0,,
199,J002903.59+050934.68,7.264958333,5.159633333,COMPACT_D,0,,
200,J002905.15+205136.33,7.271458333,20.86009167,COMPACT,0,,
201,J002911.21-302756.30,7.296708333,-30.46563889,COMPACT,0,,
202,J002920.91+414224.30,7.337125,41.70675,COMPACT,0,,
203,J002935.28+500009.78,7.397,50.00271667,COMPACT,0,,
204,J002937.87+481247.97,7.407791667,48.213325,COMPACT,0,,
205,J002945.09-174042.43,7.437875,-17.67845278,COMPACT,0,,
206,J002945.90+055440.72,7.44125,5.911311111,COMPACT,0,,
207,J003007.89-000007.26,7.532875,-0.002016666667,COMPACT,0,,
208,J003012.26+055527.05,7.551083333,5.924180556,COMPACT,0,,
209,J003014.55+703740.23,7.560625,70.62784167,COMPACT_D,0,,
210,J003016.33+083024.84,7.568041667,8.5069,COMPACT,0,,
211,J003024.60-170210.50,7.6025,-17.03625,COMPACT,0,,
212,J003035.10+412732.51,7.64625,41.45903056,COMPACT,0,,
213,J003050.55+342353.50,7.710625,34.39819444,2-SIDE SEPARATED,0,,
214,J003055.20+471107.42,7.73,47.18539444,COMPACT,0,,
215,J003101.16-124849.98,7.754833333,-12.81388333,COMPACT,0,,
216,J003104.55+422911.53,7.768958333,42.48653611,COMPACT,0,,
217,J003110.73+042946.22,7.794708333,4.496172222,COMPACT,0,,
218,J003119.71+072453.50,7.832125,7.414861111,COMPACT,0,,
219,J003124.29-392249.32,7.851208333,-39.38036667,COMPACT_D,0,,
220,J003137.08-184326.64,7.9045,-18.72406667,COMPACT,0,,
221,J003150.50-265224.62,7.960416667,-26.87350556,COMPACT_D,0,,
222,J003153.68-074606.26,7.973666667,-7.768405556,COMPACT_offset,0,,
223,J003156.28+320806.41,7.9845,32.13511389,COMPACT,0,,
224,J003209.48-382729.21,8.0395,-38.45811389,2-SIDE SEPARATED,0,,
225,J003211.07+690159.27,8.046125,69.03313056,COMPACT,0,,
226,J003233.02-264918.41,8.137583333,-26.82178056,COMPACT,0,,
