no.,name,ra,dec,class,visual_flag,visual_class
90,J003828.87+185617.70,9.620291667,18.93825,COMPACT,0,
91,J003906.28-094246.79,9.776166667,-9.712997222,COMPACT,0,
92,J003931.57-111102.39,9.881541667,-11.18399722,COMPACT,0,
93,J003939.60+141157.51,9.915,14.19930833,COMPACT,0,
94,J004013.80+405004.70,10.0575,40.83463889,1-SIDE SEPARATED,0,
95,J004016.40-271911.60,10.06833333,-27.31988889,COMPACT,0,
96,J004024.89-234000.58,10.10370833,-23.66682778,COMPACT,0,
97,J004030.65-322520.09,10.12770833,-32.42224722,COMPACT,0,
98,J004057.60-014631.90,10.24,-1.775527778,COMPACT_D,0,
99,J004204.55+232001.28,10.51895833,23.33368889,COMPACT_D,0,
100,J004208.09+364112.98,10.53370833,36.68693889,COMPACT,0,
101,J004213.57+150915.40,10.55654167,15.15427778,COMPACT,0,
102,J004244.35+100949.50,10.68479167,10.16375,COMPACT,0,
103,J004322.72-263906.01,10.84466667,-26.65166944,COMPACT,0,
104,J004332.70+002500.01,10.88625,0.4166694444,COMPACT_D,0,
105,J004348.89+342625.90,10.95370833,34.44052778,COMPACT_D,0,
106,J004417.04-375259.19,11.071,-37.88310833,COMPACT,0,
107,J004519.27+212740.10,11.33029167,21.46113889,COMPACT,0,
108,J004539.59-224355.09,11.41495833,-22.73196944,COMPACT_D,0,
109,J004543.32+121711.79,11.4305,12.28660833,COMPACT,0,
110,J004647.54+390047.41,11.69808333,39.01316944,COMPACT,0,
111,J004700.42+565742.40,11.75175,56.96177778,COMPACT_D,0,
112,J004709.78+201729.50,11.79075,20.29152778,COMPACT,0,
113,J004743.86+243515.89,11.93275,24.58774722,COMPACT,0,
114,J004755.21+394857.60,11.98004167,39.816,1-SIDE EXTENDED,0,
115,J004802.60+223524.28,12.01083333,22.59007778,COMPACT,0,
116,J004847.14+315725.20,12.19641667,31.957,COMPACT,0,
117,J004922.88-311627.29,12.34533333,-31.27424722,COMPACT_D,0,
118,J004933.72-250933.98,12.3905,-25.15943889,COMPACT,0,
119,J004937.95+512814.01,12.408125,51.47055833,COMPACT_D,0,
120,J004943.21+023703.89,12.43004167,2.617747222,COMPACT,0,
121,J005021.53-045220.31,12.58970833,-4.872308333,COMPACT_D,0,
122,J005041.29-092904.88,12.67204167,-9.484688889,COMPACT_D,0,
123,J005108.20-065001.89,12.78416667,-6.833858333,COMPACT_D,0,
124,J005227.82+440254.59,13.11591667,44.04849722,COMPACT,0,
125,J005252.54-282554.01,13.21891667,-28.43166944,COMPACT_D,0,
126,J005446.74-245528.99,13.69475,-24.92471944,COMPACT,0,
127,J005620.05-093630.59,14.08354167,-9.608497222,1-SIDE SEPARATED,0,
128,J005632.27-211707.90,14.13445833,-21.28552778,COMPACT,0,
129,J005655.25+162513.51,14.23020833,16.42041944,COMPACT,0,
130,J005716.98-002432.61,14.32075,-0.4090583333,COMPACT,0,
131,J005719.25-221237.11,14.33020833,-22.21030833,COMPACT,0,
132,J005802.21-323420.60,14.50920833,-32.57238889,COMPACT_D,0,
